run_id,length_bucket,correct
fewshot_predictions_2025-08-15_20-02-36,"(8.999, 44.0]",0.875
fewshot_predictions_2025-08-15_20-02-36,"(44.0, 64.0]",1.0
fewshot_predictions_2025-08-15_20-02-36,"(64.0, 105.4]",0.5714285714285714
fewshot_predictions_2025-08-15_20-02-36,"(105.4, 187.0]",0.7142857142857143
fewshot_predictions_2025-08-15_20-02-36,"(187.0, 747.0]",0.6
fewshot_predictions_2025-08-15_20-08-47,"(8.999, 44.0]",0.7142857142857143
fewshot_predictions_2025-08-15_20-08-47,"(44.0, 64.0]",1.0
fewshot_predictions_2025-08-15_20-08-47,"(64.0, 105.4]",0.7142857142857143
fewshot_predictions_2025-08-15_20-08-47,"(105.4, 187.0]",0.5714285714285714
fewshot_predictions_2025-08-15_20-08-47,"(187.0, 747.0]",1.0
fewshot_predictions_2025-08-15_20-12-40,"(8.999, 44.0]",0.75
fewshot_predictions_2025-08-15_20-12-40,"(44.0, 64.0]",0.8333333333333334
fewshot_predictions_2025-08-15_20-12-40,"(64.0, 105.4]",0.8333333333333334
fewshot_predictions_2025-08-15_20-12-40,"(105.4, 187.0]",0.6666666666666666
fewshot_predictions_2025-08-15_20-12-40,"(187.0, 747.0]",1.0
fewshot_predictions_2025-08-15_20-20-21,"(8.999, 44.0]",1.0
fewshot_predictions_2025-08-15_20-20-21,"(44.0, 64.0]",0.9
fewshot_predictions_2025-08-15_20-20-21,"(64.0, 105.4]",0.4
fewshot_predictions_2025-08-15_20-20-21,"(105.4, 187.0]",0.3333333333333333
fewshot_predictions_2025-08-15_20-20-21,"(187.0, 747.0]",0.8333333333333334
fewshot_predictions_2025-08-15_20-23-29,"(8.999, 44.0]",0.8888888888888888
fewshot_predictions_2025-08-15_20-23-29,"(44.0, 64.0]",1.0
fewshot_predictions_2025-08-15_20-23-29,"(64.0, 105.4]",0.4
fewshot_predictions_2025-08-15_20-23-29,"(105.4, 187.0]",0.0
fewshot_predictions_2025-08-15_20-23-29,"(187.0, 747.0]",0.5555555555555556
fewshot_predictions_2025-08-15_23-25-31,"(8.999, 44.0]",0.8
fewshot_predictions_2025-08-15_23-25-31,"(44.0, 64.0]",1.0
fewshot_predictions_2025-08-15_23-25-31,"(64.0, 105.4]",0.5
fewshot_predictions_2025-08-15_23-25-31,"(105.4, 187.0]",1.0
fewshot_predictions_2025-08-15_23-25-31,"(187.0, 747.0]",1.0
fewshot_predictions_2025-08-15_23-42-19,"(8.999, 44.0]",0.75
fewshot_predictions_2025-08-15_23-42-19,"(44.0, 64.0]",0.875
fewshot_predictions_2025-08-15_23-42-19,"(64.0, 105.4]",1.0
fewshot_predictions_2025-08-15_23-42-19,"(105.4, 187.0]",0.6666666666666666
fewshot_predictions_2025-08-15_23-42-19,"(187.0, 747.0]",1.0
fewshot_predictions_2025-08-15_23-53-30,"(8.999, 44.0]",0.8888888888888888
fewshot_predictions_2025-08-15_23-53-30,"(44.0, 64.0]",1.0
fewshot_predictions_2025-08-15_23-53-30,"(64.0, 105.4]",0.5
fewshot_predictions_2025-08-15_23-53-30,"(105.4, 187.0]",0.6
fewshot_predictions_2025-08-15_23-53-30,"(187.0, 747.0]",1.0
fewshot_predictions_2025-08-16_00-05-35,"(8.999, 44.0]",1.0
fewshot_predictions_2025-08-16_00-05-35,"(44.0, 64.0]",1.0
fewshot_predictions_2025-08-16_00-05-35,"(64.0, 105.4]",1.0
fewshot_predictions_2025-08-16_00-05-35,"(105.4, 187.0]",1.0
fewshot_predictions_2025-08-16_00-05-35,"(187.0, 747.0]",0.8
fewshot_predictions_2025-08-16_00-11-14,"(8.999, 44.0]",1.0
fewshot_predictions_2025-08-16_00-11-14,"(44.0, 64.0]",0.6
fewshot_predictions_2025-08-16_00-11-14,"(64.0, 105.4]",1.0
fewshot_predictions_2025-08-16_00-11-14,"(105.4, 187.0]",0.8181818181818182
fewshot_predictions_2025-08-16_00-11-14,"(187.0, 747.0]",0.8
